random,3000,1000,1000,175
random,3500,1000,1000,182
random,4000,1000,1000,179
random,4500,1000,1000,179
random,5000,1000,1000,156
random,5500,1000,1000,160
random,3000,1000,5000,175
random,3000,2000,5000,346
random,3000,3000,5000,533
random,3000,4000,5000,701
random,3000,5000,5000,868
random,3500,1000,5000,186
random,3500,2000,5000,377
random,3500,3000,5000,560
random,3500,4000,5000,733
random,3500,5000,5000,911
random,4000,1000,5000,180
random,4000,2000,5000,352
random,4000,3000,5000,538
random,4000,4000,5000,721
random,4000,5000,5000,911
random,4500,1000,5000,181
random,4500,2000,5000,377
random,4500,3000,5000,537
random,4500,4000,5000,692
random,4500,5000,5000,852
random,5000,1000,5000,182
random,5000,2000,5000,343
random,5000,3000,5000,526
random,5000,4000,5000,694
random,5000,5000,5000,865
random,5500,1000,5000,168
random,5500,2000,5000,347
random,5500,3000,5000,506
random,5500,4000,5000,685
random,5500,5000,5000,864
random,3000,1000,10000,183
random,3000,2000,10000,373
random,3000,3000,10000,542
random,3000,4000,10000,689
random,3000,5000,10000,848
random,3000,6000,10000,1025
random,3000,7000,10000,1193
random,3000,8000,10000,1364
random,3000,9000,10000,1555
random,3000,10000,10000,1725
random,3500,1000,10000,181
random,3500,2000,10000,369
random,3500,3000,10000,555
random,3500,4000,10000,724
random,3500,5000,10000,896
random,3500,6000,10000,1085
random,3500,7000,10000,1271
random,3500,8000,10000,1459
random,3500,9000,10000,1626
random,3500,10000,10000,1775
random,4000,1000,10000,180
random,4000,2000,10000,352
random,4000,3000,10000,530
random,4000,4000,10000,720
random,4000,5000,10000,875
random,4000,6000,10000,1050
random,4000,7000,10000,1217
random,4000,8000,10000,1392
random,4000,9000,10000,1586
random,4000,10000,10000,1738
random,4500,1000,10000,185
random,4500,2000,10000,359
random,4500,3000,10000,539
random,4500,4000,10000,728
random,4500,5000,10000,896
random,4500,6000,10000,1087
random,4500,7000,10000,1271
random,4500,8000,10000,1460
random,4500,9000,10000,1627
random,4500,10000,10000,1802
random,5000,1000,10000,181
random,5000,2000,10000,364
random,5000,3000,10000,545
random,5000,4000,10000,737
random,5000,5000,10000,892
random,5000,6000,10000,1073
random,5000,7000,10000,1261
random,5000,8000,10000,1451
random,5000,9000,10000,1641
random,5000,10000,10000,1844
random,5500,1000,10000,199
random,5500,2000,10000,402
random,5500,3000,10000,591
random,5500,4000,10000,768
random,5500,5000,10000,947
random,5500,6000,10000,1127
random,5500,7000,10000,1291
random,5500,8000,10000,1457
random,5500,9000,10000,1631
random,5500,10000,10000,1817
random,3000,1000,20000,183
random,3000,2000,20000,375
random,3000,3000,20000,549
random,3000,4000,20000,741
random,3000,5000,20000,934
random,3000,6000,20000,1101
random,3000,7000,20000,1282
random,3000,8000,20000,1471
random,3000,9000,20000,1664
random,3000,10000,20000,1833
random,3000,11000,20000,2017
random,3000,12000,20000,2199
random,3000,13000,20000,2378
random,3000,14000,20000,2571
random,3000,15000,20000,2743
random,3000,16000,20000,2926
random,3000,17000,20000,3087
random,3000,18000,20000,3266
random,3000,19000,20000,3449
random,3000,20000,20000,3638
random,3500,1000,20000,183
random,3500,2000,20000,365
random,3500,3000,20000,537
random,3500,4000,20000,725
random,3500,5000,20000,908
random,3500,6000,20000,1106
random,3500,7000,20000,1288
random,3500,8000,20000,1499
random,3500,9000,20000,1671
random,3500,10000,20000,1849
random,3500,11000,20000,2015
random,3500,12000,20000,2187
random,3500,13000,20000,2369
random,3500,14000,20000,2562
random,3500,15000,20000,2718
random,3500,16000,20000,2923
random,3500,17000,20000,3119
random,3500,18000,20000,3303
random,3500,19000,20000,3486
random,3500,20000,20000,3670
random,4000,1000,20000,153
random,4000,2000,20000,338
random,4000,3000,20000,516
random,4000,4000,20000,696
random,4000,5000,20000,881
random,4000,6000,20000,1066
random,4000,7000,20000,1244
random,4000,8000,20000,1418
random,4000,9000,20000,1597
random,4000,10000,20000,1776
random,4000,11000,20000,1967
random,4000,12000,20000,2146
random,4000,13000,20000,2334
random,4000,14000,20000,2513
random,4000,15000,20000,2702
random,4000,16000,20000,2884
random,4000,17000,20000,3079
random,4000,18000,20000,3240
random,4000,19000,20000,3418
random,4000,20000,20000,3599
random,4500,1000,20000,181
random,4500,2000,20000,371
random,4500,3000,20000,541
random,4500,4000,20000,701
random,4500,5000,20000,880
random,4500,6000,20000,1067
random,4500,7000,20000,1234
random,4500,8000,20000,1409
random,4500,9000,20000,1585
random,4500,10000,20000,1771
random,4500,11000,20000,1943
random,4500,12000,20000,2122
random,4500,13000,20000,2303
random,4500,14000,20000,2484
random,4500,15000,20000,2683
random,4500,16000,20000,2879
random,4500,17000,20000,3054
random,4500,18000,20000,3240
random,4500,19000,20000,3430
random,4500,20000,20000,3610
random,5000,1000,20000,196
random,5000,2000,20000,362
random,5000,3000,20000,532
random,5000,4000,20000,709
random,5000,5000,20000,883
random,5000,6000,20000,1063
random,5000,7000,20000,1232
random,5000,8000,20000,1422
random,5000,9000,20000,1588
random,5000,10000,20000,1771
random,5000,11000,20000,1952
random,5000,12000,20000,2166
random,5000,13000,20000,2352
random,5000,14000,20000,2543
random,5000,15000,20000,2725
random,5000,16000,20000,2908
random,5000,17000,20000,3084
random,5000,18000,20000,3257
random,5000,19000,20000,3451
random,5000,20000,20000,3637
random,5500,1000,20000,195
random,5500,2000,20000,374
random,5500,3000,20000,584
random,5500,4000,20000,771
random,5500,5000,20000,967
random,5500,6000,20000,1137
random,5500,7000,20000,1324
random,5500,8000,20000,1486
random,5500,9000,20000,1641
random,5500,10000,20000,1823
random,5500,11000,20000,2002
random,5500,12000,20000,2174
random,5500,13000,20000,2356
random,5500,14000,20000,2541
random,5500,15000,20000,2746
random,5500,16000,20000,2922
random,5500,17000,20000,3106
random,5500,18000,20000,3279
random,5500,19000,20000,3458
random,5500,20000,20000,3636
random,3000,1000,30000,199
random,3000,2000,30000,375
random,3000,3000,30000,532
random,3000,4000,30000,729
random,3000,5000,30000,918
random,3000,6000,30000,1092
random,3000,7000,30000,1286
random,3000,8000,30000,1464
random,3000,9000,30000,1647
random,3000,10000,30000,1822
random,3000,11000,30000,1996
random,3000,12000,30000,2172
random,3000,13000,30000,2357
random,3000,14000,30000,2529
random,3000,15000,30000,2705
random,3000,16000,30000,2878
random,3000,17000,30000,3051
random,3000,18000,30000,3219
random,3000,19000,30000,3403
random,3000,20000,30000,3570
random,3000,21000,30000,3778
random,3000,22000,30000,3957
random,3000,23000,30000,4126
random,3000,24000,30000,4291
random,3000,25000,30000,4502
random,3000,26000,30000,4683
random,3000,27000,30000,4853
random,3000,28000,30000,5040
random,3000,29000,30000,5213
random,3000,30000,30000,5379
random,3500,1000,30000,178
random,3500,2000,30000,379
random,3500,3000,30000,559
random,3500,4000,30000,732
random,3500,5000,30000,905
random,3500,6000,30000,1094
random,3500,7000,30000,1256
random,3500,8000,30000,1426
random,3500,9000,30000,1598
random,3500,10000,30000,1778
random,3500,11000,30000,1920
random,3500,12000,30000,2086
random,3500,13000,30000,2268
random,3500,14000,30000,2450
random,3500,15000,30000,2614
random,3500,16000,30000,2797
random,3500,17000,30000,2992
random,3500,18000,30000,3171
random,3500,19000,30000,3337
random,3500,20000,30000,3515
random,3500,21000,30000,3695
random,3500,22000,30000,3867
random,3500,23000,30000,4035
random,3500,24000,30000,4217
